"PhylumDivision"	"ID"	"Kingdom"	"color"
"Acidobacteria"	"Prok_ASV_2232"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1665"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_3676"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_9038"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_3575"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_10139"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_2108"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_974"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_3368"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_6848"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_3584"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_3873"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_469"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1909"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_743"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_3713"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1236"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1140"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_2369"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1076"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_957"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_5186"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1322"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_4362"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1169"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_274"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_4660"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_3622"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1331"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1502"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_2002"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_2474"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_2997"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1366"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_4343"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_2333"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_287"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_823"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_2886"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_4232"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_3968"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_3161"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_5325"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1293"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_191"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1287"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_5543"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_2034"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_4700"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1471"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_2356"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_3615"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_640"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_3140"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1841"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_407"	"Bacteria"	"#081D58"
"Acidobacteria"	"Prok_ASV_1654"	"Bacteria"	"#081D58"
"Actinobacteria"	"Prok_ASV_6"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_1682"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_3314"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_336"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_324"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_277"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_3123"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_1464"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_340"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_609"	"Bacteria"	"#F7FCB9"
