Sample	depth	layer	OceanRegion	Latitude	Longitude	OceanRegion_Layer
Hotmix_HM002_2000m	2000	BAT	MS	34.073	33.514	MS_BAT
Hotmix_HM003_1000m	1000	MES	MS	34.073	33.514	MS_MES
Hotmix_HM004_130m	130	DCM	MS	34.073	33.514	MS_DCM
Hotmix_HM005_35m	35	EPI	MS	34.073	33.514	MS_EPI
Hotmix_HM006_3m	3	SRF	MS	34.073	33.514	MS_SRF
Hotmix_HM007_575m	575	MES	MS	34.073	33.514	MS_MES
Hotmix_HM008_200m	200	MES	MS	34.073	33.514	MS_MES
Hotmix_HM010_25m	25	EPI	MS	34.073	31.413	MS_EPI
Hotmix_HM011_2000m	2000	BAT	MS	33.666	29.344	MS_BAT
Hotmix_HM012_1250m	1250	BAT	MS	33.666	29.344	MS_BAT
Hotmix_HM013_200m	200	MES	MS	33.666	29.344	MS_MES
Hotmix_HM014_750m	750	MES	MS	33.666	29.344	MS_MES
Hotmix_HM015_120m	120	DCM	MS	33.666	29.344	MS_DCM
Hotmix_HM018_2630m	2630	BAT	MS	34.073	27.226	MS_BAT
Hotmix_HM019_2000m	2000	BAT	MS	34.073	27.226	MS_BAT
Hotmix_HM020_1250m	1250	BAT	MS	34.073	27.226	MS_BAT
Hotmix_HM021_118m	118	DCM	MS	34.073	27.226	MS_DCM
Hotmix_HM022_50m	50	EPI	MS	34.073	27.226	MS_EPI
Hotmix_HM023_3m	3	SRF	MS	34.073	27.226	MS_SRF
Hotmix_HM024_550m	550	MES	MS	34.073	27.226	MS_MES
Hotmix_HM025_200m	200	MES	MS	34.073	27.226	MS_MES
Hotmix_HM027_2000m	2000	BAT	MS	34.073	25.231	MS_BAT
Hotmix_HM028_825m	825	MES	MS	34.073	25.231	MS_MES
Hotmix_HM029_100m	100	DCM	MS	34.073	25.231	MS_DCM
Hotmix_HM030_50m	50	EPI	MS	34.073	25.231	MS_EPI
Hotmix_HM031_3m	3	SRF	MS	34.073	25.231	MS_SRF
Hotmix_HM033_200m	200	MES	MS	34.073	25.231	MS_MES
Hotmix_HM034_2600m	2600	BAT	MS	34.073	23.208	MS_BAT
Hotmix_HM035_2000m	2000	BAT	MS	34.073	23.208	MS_BAT
Hotmix_HM036_1100m	1100	BAT	MS	34.073	23.208	MS_BAT
Hotmix_HM037_90m	90	DCM	MS	34.073	23.208	MS_DCM
Hotmix_HM038_50m	50	EPI	MS	34.073	23.208	MS_EPI
Hotmix_HM039_3m	3	SRF	MS	34.073	23.208	MS_SRF
Hotmix_HM040_705m	705	MES	MS	34.073	23.208	MS_MES
Hotmix_HM042_2421m	2421	BAT	MS	34.673	21.373	MS_BAT
Hotmix_HM043_2000m	2000	BAT	MS	34.673	21.373	MS_BAT
Hotmix_HM044_1000m	1000	MES	MS	34.673	21.373	MS_MES
Hotmix_HM045_110m	110	DCM	MS	34.673	21.372	MS_DCM
Hotmix_HM046_50m	50	EPI	MS	34.673	21.372	MS_EPI
Hotmix_HM047_3m	3	SRF	MS	34.673	21.372	MS_SRF
Hotmix_HM048_500m	500	MES	MS	34.673	21.372	MS_MES
