Source_PhylumDivision	Target_PhylumDivision	Frequency	Percentage	Region	DepthLayer
Actinobacteria	Actinobacteria	1	0.308641975308642	MS	SRF
Actinobacteria	Alphaproteobacteria	3	0.925925925925926	MS	SRF
Actinobacteria	Cyanobacteria	1	0.308641975308642	MS	SRF
Alphaproteobacteria	Alphaproteobacteria	72	22.2222222222222	MS	SRF
Alphaproteobacteria	Bacteroidetes	15	4.62962962962963	MS	SRF
Alphaproteobacteria	Cyanobacteria	2	0.617283950617284	MS	SRF
Alphaproteobacteria	Dinoflagellata	5	1.54320987654321	MS	SRF
Alphaproteobacteria	Gammaproteobacteria	22	6.79012345679012	MS	SRF
Alphaproteobacteria	Picozoa	1	0.308641975308642	MS	SRF
Alphaproteobacteria	Stramenopiles_X	1	0.308641975308642	MS	SRF
Alphaproteobacteria	Verrucomicrobia	8	2.46913580246914	MS	SRF
Bacteroidetes	Bacteroidetes	9	2.77777777777778	MS	SRF
Bacteroidetes	Cyanobacteria	4	1.23456790123457	MS	SRF
Bacteroidetes	Dinoflagellata	1	0.308641975308642	MS	SRF
Bacteroidetes	Gammaproteobacteria	10	3.08641975308642	MS	SRF
Bacteroidetes	Katablepharidophyta	1	0.308641975308642	MS	SRF
Bacteroidetes	Ochrophyta	1	0.308641975308642	MS	SRF
Bacteroidetes	Picozoa	1	0.308641975308642	MS	SRF
Bacteroidetes	Stramenopiles_X	3	0.925925925925926	MS	SRF
Bacteroidetes	Verrucomicrobia	4	1.23456790123457	MS	SRF
Centroheliozoa	Dinoflagellata	3	0.925925925925926	MS	SRF
Centroheliozoa	Ochrophyta	2	0.617283950617284	MS	SRF
Centroheliozoa	Picozoa	1	0.308641975308642	MS	SRF
Centroheliozoa	Stramenopiles_X	1	0.308641975308642	MS	SRF
Ciliophora	Dinoflagellata	1	0.308641975308642	MS	SRF
Ciliophora	Stramenopiles_X	2	0.617283950617284	MS	SRF
Cyanobacteria	Gammaproteobacteria	3	0.925925925925926	MS	SRF
Cyanobacteria	Kiritimatiellaeota	1	0.308641975308642	MS	SRF
Cyanobacteria	Stramenopiles_X	1	0.308641975308642	MS	SRF
Cyanobacteria	Verrucomicrobia	2	0.617283950617284	MS	SRF
Dinoflagellata	Dinoflagellata	59	18.2098765432099	MS	SRF
Dinoflagellata	Gammaproteobacteria	1	0.308641975308642	MS	SRF
Dinoflagellata	Katablepharidophyta	3	0.925925925925926	MS	SRF
Dinoflagellata	Kiritimatiellaeota	1	0.308641975308642	MS	SRF
Dinoflagellata	Ochrophyta	6	1.85185185185185	MS	SRF
Dinoflagellata	Picozoa	2	0.617283950617284	MS	SRF
Dinoflagellata	Stramenopiles_X	14	4.32098765432099	MS	SRF
Dinoflagellata	Telonemia	2	0.617283950617284	MS	SRF
Gammaproteobacteria	Gammaproteobacteria	8	2.46913580246914	MS	SRF
Gammaproteobacteria	Katablepharidophyta	1	0.308641975308642	MS	SRF
Gammaproteobacteria	Kiritimatiellaeota	2	0.617283950617284	MS	SRF
Gammaproteobacteria	Stramenopiles_X	2	0.617283950617284	MS	SRF
Gammaproteobacteria	Verrucomicrobia	2	0.617283950617284	MS	SRF
Katablepharidophyta	Ochrophyta	1	0.308641975308642	MS	SRF
Katablepharidophyta	Picozoa	1	0.308641975308642	MS	SRF
Kiritimatiellaeota	Verrucomicrobia	1	0.308641975308642	MS	SRF
Ochrophyta	Ochrophyta	4	1.23456790123457	MS	SRF
Ochrophyta	Picozoa	2	0.617283950617284	MS	SRF
Ochrophyta	Stramenopiles_X	8	2.46913580246914	MS	SRF
Picozoa	Stramenopiles_X	7	2.16049382716049	MS	SRF
Stramenopiles_X	Stramenopiles_X	12	3.7037037037037	MS	SRF
Stramenopiles_X	Telonemia	1	0.308641975308642	MS	SRF
Verrucomicrobia	Verrucomicrobia	2	0.617283950617284	MS	SRF
Actinobacteria	Actinobacteria	1	0.4739336492891	MS	DCM
Actinobacteria	Alphaproteobacteria	3	1.4218009478673	MS	DCM
Actinobacteria	Bacteroidetes	2	0.947867298578199	MS	DCM
Actinobacteria	Cyanobacteria	1	0.4739336492891	MS	DCM
Alphaproteobacteria	Alphaproteobacteria	37	17.5355450236967	MS	DCM
Alphaproteobacteria	Bacteroidetes	5	2.3696682464455	MS	DCM
Alphaproteobacteria	Cyanobacteria	1	0.4739336492891	MS	DCM
Alphaproteobacteria	Dadabacteria	3	1.4218009478673	MS	DCM
Alphaproteobacteria	Dinoflagellata	3	1.4218009478673	MS	DCM
Alphaproteobacteria	Euryarchaeota	2	0.947867298578199	MS	DCM
Alphaproteobacteria	Gammaproteobacteria	7	3.3175355450237	MS	DCM
Alphaproteobacteria	SAR406	2	0.947867298578199	MS	DCM
Alphaproteobacteria	Thaumarchaeota	3	1.4218009478673	MS	DCM
ChO	Cyanobacteria	1	0.4739336492891	MS	DCM
ChO	Gammaproteobacteria	1	0.4739336492891	MS	DCM
Chlorophyta	Ochrophyta	1	0.4739336492891	MS	DCM
Cryptophyta	Cryptophyta	1	0.4739336492891	MS	DCM
Cryptophyta	Dinoflagellata	2	0.947867298578199	MS	DCM
Cryptophyta	Katablepharidophyta	1	0.4739336492891	MS	DCM
Cyanobacteria	Dinoflagellata	1	0.4739336492891	MS	DCM
Cyanobacteria	Euryarchaeota	1	0.4739336492891	MS	DCM
Cyanobacteria	Gammaproteobacteria	1	0.4739336492891	MS	DCM
Deltaproteobacteria	Thaumarchaeota	1	0.4739336492891	MS	DCM
Dinoflagellata	Dinoflagellata	103	48.8151658767773	MS	DCM
Dinoflagellata	Gammaproteobacteria	1	0.4739336492891	MS	DCM
Dinoflagellata	Katablepharidophyta	3	1.4218009478673	MS	DCM
Dinoflagellata	Ochrophyta	8	3.7914691943128	MS	DCM
Dinoflagellata	Picozoa	1	0.4739336492891	MS	DCM
Dinoflagellata	Stramenopiles_X	3	1.4218009478673	MS	DCM
Dinoflagellata	Thaumarchaeota	1	0.4739336492891	MS	DCM
Dinoflagellata	Verrucomicrobia	1	0.4739336492891	MS	DCM
Euryarchaeota	Ochrophyta	1	0.4739336492891	MS	DCM
Gammaproteobacteria	SAR406	2	0.947867298578199	MS	DCM
Gammaproteobacteria	Thaumarchaeota	1	0.4739336492891	MS	DCM
SAR406	Thaumarchaeota	1	0.4739336492891	MS	DCM
Thaumarchaeota	Thaumarchaeota	4	1.8957345971564	MS	DCM
Acidobacteria	Acidobacteria	1	0.561797752808989	MS	MES
Acidobacteria	ChO	1	0.561797752808989	MS	MES
Acidobacteria	Deltaproteobacteria	3	1.68539325842697	MS	MES
Acidobacteria	Euryarchaeota	2	1.12359550561798	MS	MES
Acidobacteria	NiR	2	1.12359550561798	MS	MES
Acidobacteria	Thaumarchaeota	3	1.68539325842697	MS	MES
Actinobacteria	Gammaproteobacteria	1	0.561797752808989	MS	MES
Actinobacteria	Gemmatimonadetes	1	0.561797752808989	MS	MES
Actinobacteria	Thaumarchaeota	5	2.80898876404494	MS	MES
Alphaproteobacteria	Alphaproteobacteria	1	0.561797752808989	MS	MES
Alphaproteobacteria	Deltaproteobacteria	1	0.561797752808989	MS	MES
Alphaproteobacteria	Gammaproteobacteria	2	1.12359550561798	MS	MES
Alphaproteobacteria	SAR406	2	1.12359550561798	MS	MES
Alphaproteobacteria	Thaumarchaeota	4	2.24719101123596	MS	MES
Bacteroidetes	Deltaproteobacteria	1	0.561797752808989	MS	MES
ChO	ChO	1	0.561797752808989	MS	MES
ChO	Euryarchaeota	1	0.561797752808989	MS	MES
ChO	Gammaproteobacteria	2	1.12359550561798	MS	MES
ChO	Thaumarchaeota	3	1.68539325842697	MS	MES
Deltaproteobacteria	Deltaproteobacteria	2	1.12359550561798	MS	MES
Deltaproteobacteria	Gammaproteobacteria	2	1.12359550561798	MS	MES
Deltaproteobacteria	Thaumarchaeota	10	5.61797752808989	MS	MES
Dinoflagellata	Thaumarchaeota	1	0.561797752808989	MS	MES
Euryarchaeota	Euryarchaeota	2	1.12359550561798	MS	MES
Euryarchaeota	Gammaproteobacteria	3	1.68539325842697	MS	MES
Euryarchaeota	NiR	1	0.561797752808989	MS	MES
Euryarchaeota	SAR406	1	0.561797752808989	MS	MES
Euryarchaeota	Thaumarchaeota	8	4.49438202247191	MS	MES
Gammaproteobacteria	Gammaproteobacteria	2	1.12359550561798	MS	MES
Gammaproteobacteria	NiR	1	0.561797752808989	MS	MES
Gammaproteobacteria	Thaumarchaeota	16	8.98876404494382	MS	MES
NiN	Thaumarchaeota	1	0.561797752808989	MS	MES
NiR	NiR	3	1.68539325842697	MS	MES
