Target	Source	Region	Depth	Prevalence	Type	Source_PhylumDivision	Target_PhylumDivision
Euk_ASV_12468	Euk_ASV_10841	SPO	DCM	1	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_1429	Euk_ASV_472	MS	DCM	0.761904761904762	Euk_Euk	Cryptophyta	Cryptophyta
Euk_ASV_1439	Euk_ASV_798	MS	BAT	0.742857142857143	Euk_Euk	Cercozoa	Dinoflagellata
Euk_ASV_146	Euk_ASV_22	MS	DCM	0.761904761904762	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_146	Euk_ASV_51	MS	DCM	0.80952380952381	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_15311	Euk_ASV_2158	MS	SRF	0.789473684210526	Euk_Euk	Stramenopiles_X	Stramenopiles_X
Euk_ASV_15311	Euk_ASV_1591	MS	SRF	0.789473684210526	Euk_Euk	Picozoa	Stramenopiles_X
Euk_ASV_1559	Euk_ASV_136	MS	DCM	0.761904761904762	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_1559	Euk_ASV_1217	MS	DCM	0.857142857142857	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_1559	Euk_ASV_228	MS	DCM	0.761904761904762	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_1591	Euk_ASV_1486	MS	SRF	0.947368421052632	Euk_Euk	Ochrophyta	Picozoa
Euk_ASV_1591	Euk_ASV_233	MS	SRF	0.947368421052632	Euk_Euk	Dinoflagellata	Picozoa
Euk_ASV_1644	Euk_ASV_205	MS	BAT	0.771428571428571	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_170	Euk_ASV_22	MS	DCM	0.761904761904762	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_1715	Euk_ASV_1591	MS	SRF	0.894736842105263	Euk_Euk	Picozoa	Stramenopiles_X
Euk_ASV_1726	Euk_ASV_646	SPO	DCM	1	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_19319	Euk_ASV_802	SPO	DCM	1	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_1995	Euk_ASV_1715	MS	SRF	0.736842105263158	Euk_Euk	Stramenopiles_X	Stramenopiles_X
Euk_ASV_21	Euk_ASV_1	IO	MES	0.714285714285714	Euk_Euk	Ochrophyta	Hilomonadea
Euk_ASV_21416	Euk_ASV_5703	MS	SRF	0.842105263157895	Euk_Euk	Dinoflagellata	Stramenopiles_X
Euk_ASV_21416	Euk_ASV_15311	MS	SRF	0.736842105263158	Euk_Euk	Stramenopiles_X	Stramenopiles_X
Euk_ASV_21416	Euk_ASV_2158	MS	SRF	0.894736842105263	Euk_Euk	Stramenopiles_X	Stramenopiles_X
Euk_ASV_2158	Euk_ASV_854	MS	SRF	0.842105263157895	Euk_Euk	Stramenopiles_X	Stramenopiles_X
Euk_ASV_2158	Euk_ASV_1715	MS	SRF	0.894736842105263	Euk_Euk	Stramenopiles_X	Stramenopiles_X
Euk_ASV_2158	Euk_ASV_1486	MS	SRF	0.947368421052632	Euk_Euk	Ochrophyta	Stramenopiles_X
Euk_ASV_2162	Euk_ASV_222	MS	SRF	0.736842105263158	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_2331	Euk_ASV_854	MS	SRF	0.789473684210526	Euk_Euk	Stramenopiles_X	Stramenopiles_X
Euk_ASV_2331	Euk_ASV_1173	MS	SRF	0.789473684210526	Euk_Euk	Telonemia	Stramenopiles_X
Euk_ASV_2331	Euk_ASV_492	MS	SRF	0.842105263157895	Euk_Euk	Dinoflagellata	Stramenopiles_X
Euk_ASV_2513	Euk_ASV_1715	MS	SRF	0.736842105263158	Euk_Euk	Stramenopiles_X	Stramenopiles_X
Euk_ASV_2574	Euk_ASV_367	SPO	DCM	1	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_2881	Euk_ASV_2574	SPO	DCM	1	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_3698	Euk_ASV_193	NPO	BAT	0.75	Euk_Euk	Radiolaria	Dinoflagellata
Euk_ASV_4630	Euk_ASV_13	SAO	DCM	0.75	Euk_Euk	Stramenopiles_X	Dinoflagellata
Euk_ASV_5022	Euk_ASV_631	SPO	DCM	1	Euk_Euk	Stramenopiles_X	Radiolaria
Euk_ASV_6478	Euk_ASV_4540	SPO	DCM	1	Euk_Euk	Dinoflagellata	Radiolaria
Euk_ASV_681	Euk_ASV_494	SPO	DCM	1	Euk_Euk	Radiolaria	Radiolaria
Euk_ASV_8404	Euk_ASV_5812	MS	BAT	0.771428571428571	Euk_Euk	Radiolaria	Radiolaria
