Target	Source	SRF	DCM	MES	BAT	Absent	EdgePrevalence	Prevalence_MS_SRF	Prevalence_MS_EPI	Prevalence_MS_DCM	Prevalence_MS_MES	Prevalence_MS_BAT	Prevalence_NAO_SRF	Prevalence_NAO_EPI	Prevalence_NAO_DCM	Prevalence_NAO_MES	Prevalence_NAO_BAT	Prevalence_SAO_SRF	Prevalence_SAO_DCM	Prevalence_SAO_MES	Prevalence_SAO_BAT	Prevalence_SPO_SRF	Prevalence_SPO_DCM	Prevalence_SPO_MES	Prevalence_SPO_BAT	Prevalence_NPO_SRF	Prevalence_NPO_DCM	Prevalence_NPO_MES	Prevalence_NPO_BAT	Prevalence_IO_SRF	Prevalence_IO_DCM	Prevalence_IO_MES	Prevalence_IO_BAT	AllLayers	MS_allLayers	NAO_allLayers	SAO_allLayers	SPO_allLayers	NPO_allLayers	IO_allLayers	Type	Source_PhylumDivision	Target_PhylumDivision
Euk_ASV_1032	Euk_ASV_260	Other	Other	Other	SAO	0	0.0856423173803526	0	0.111111111111111	0.19047619047619	0	0	0.147058823529412	1	0.666666666666667	0.285714285714286	0	0.0384615384615385	1	0.166666666666667	0.0909090909090909	0	1	0	0	0.0344827586206897	0	0	0	0	0.666666666666667	0	0	1	1	3	4	1	1	1	Euk_Euk	Radiolaria	Chlorophyta
Euk_ASV_1074	Euk_ASV_13	Other	Other	Other	Other	0	0.0629722921914358	0	0	0	0	0	0.0294117647058824	0	0	0	0.1	0.0384615384615385	0.5	0.333333333333333	0.636363636363636	0	0	0.333333333333333	0.333333333333333	0	0	0	0.5	0.0285714285714286	0.333333333333333	0	0	1	0	2	4	2	1	2	Euk_Euk	Stramenopiles_X	Dinoflagellata
Euk_ASV_1074	Euk_ASV_443	Other	Other	Other	Other	0	0.103274559193955	0	0	0	0.115384615384615	0	0.0294117647058824	0	0.166666666666667	0.214285714285714	0.2	0.0384615384615385	0.25	0.333333333333333	0.545454545454545	0	0	0.333333333333333	0.333333333333333	0.103448275862069	0	0.222222222222222	0.583333333333333	0.0285714285714286	0.333333333333333	0	0	2	1	4	4	2	3	2	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_1074	Euk_ASV_402	Other	Other	Other	Other	0	0.0755667506297229	0	0	0.0476190476190476	0	0	0.0294117647058824	0	0.166666666666667	0	0.2	0.0384615384615385	0.5	0.5	0.454545454545455	0	0	0.333333333333333	0.333333333333333	0.0689655172413793	0	0	0.583333333333333	0	0.333333333333333	0	0	1	1	3	4	2	2	1	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_108	Euk_ASV_81	Other	LowFrequency	Other	Other	0	0.198992443324937	0.526315789473684	0.722222222222222	0.619047619047619	0.0769230769230769	0	0.176470588235294	0.75	0.833333333333333	0.214285714285714	0.15	0.0384615384615385	0.75	0	0.272727272727273	0	1	0	0.333333333333333	0.0344827586206897	0.333333333333333	0	0.5	0.0285714285714286	0.333333333333333	0	0	1	3	4	3	2	3	2	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_108	Euk_ASV_51	Other	LowFrequency	Other	Other	0	0.216624685138539	0.578947368421053	0.722222222222222	0.619047619047619	0.0576923076923077	0	0.176470588235294	0.75	0.833333333333333	0.214285714285714	0.2	0.0384615384615385	1	0.333333333333333	0.272727272727273	0	1	0	0.333333333333333	0.0344827586206897	0.666666666666667	0	0.666666666666667	0.0285714285714286	0.333333333333333	0	0	2	3	4	4	2	3	2	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_1122	Euk_ASV_482	Other	Other	Other	Other	0	0.113350125944584	0	0.166666666666667	0.619047619047619	0.153846153846154	0.0285714285714286	0.0294117647058824	0	0.166666666666667	0.0714285714285714	0.05	0	0.75	0.166666666666667	0.0909090909090909	0	1	0	0	0.0344827586206897	0.666666666666667	0.111111111111111	0.166666666666667	0.0285714285714286	0.666666666666667	0	0.125	2	3	4	3	1	4	3	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_1122	Euk_ASV_17	Other	Other	Other	Other	0	0.125944584382872	0	0.166666666666667	0.619047619047619	0.211538461538462	0	0.0294117647058824	0	0.166666666666667	0	0	0	0.75	0.333333333333333	0	0	1	0	0.333333333333333	0.0344827586206897	0.666666666666667	0.222222222222222	0.25	0.0285714285714286	0.666666666666667	0.428571428571429	0	1	2	2	2	2	4	3	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_1133	Euk_ASV_402	NPO	Other	Other	Other	0	0.0982367758186398	0	0	0.0476190476190476	0.0384615384615385	0	0	0	0	0.142857142857143	0.2	0	0.5	0.5	0.272727272727273	0	0	0.333333333333333	0.333333333333333	0.0344827586206897	0.333333333333333	0.555555555555556	0.583333333333333	0	0.333333333333333	0.285714285714286	0.375	1	2	2	3	2	4	3	Euk_Euk	Dinoflagellata	Dinoflagellata
Euk_ASV_1133	Euk_ASV_188	NPO	Other	Other	Other	0	0.0478589420654912	0	0	0	0	0	0	0	0	0	0	0	0.25	0.166666666666667	0.0909090909090909	0	1	0.333333333333333	0.333333333333333	0.0344827586206897	0.333333333333333	0.444444444444444	0.5	0	0.333333333333333	0	0	1	0	0	3	3	4	1	Euk_Euk	Chlorophyta	Dinoflagellata
