Source	Target
Hotmix_HM002_2000m	Hotmix_HM027_2000m
Hotmix_HM002_2000m	Hotmix_HM078_1000m
Hotmix_HM002_2000m	Hotmix_HM085_95m
Hotmix_HM002_2000m	Hotmix_HM136_3m
Hotmix_HM003_1000m	MalaVP_DNA_D1762_2000m
Hotmix_HM004_130m	Hotmix_HM053_100m
Hotmix_HM004_130m	MalaVP_DNA_D1770_80m
Hotmix_HM004_130m	MalaVP_DNA_D281_80m
Hotmix_HM005_35m	Hotmix_HM097_200m
Hotmix_HM006_3m	Hotmix_HM069_2000m
Hotmix_HM006_3m	Hotmix_HM139_1500m
Hotmix_HM007_575m	Hotmix_HM054_50m
Hotmix_HM007_575m	MalaVP_DNA_D1170_3m
Hotmix_HM008_200m	MalaVP_DNA_D2023_2000m
Hotmix_HM008_200m	MalaVP_DNA_D518_3300m
Hotmix_HM010_25m	Hotmix_HM042_2421m
Hotmix_HM010_25m	MalaSurf_MD2624_3m
Hotmix_HM011_2000m	Hotmix_HM024_550m
Hotmix_HM012_1250m	Hotmix_HM160_75m
Hotmix_HM013_200m	Hotmix_HM049_200m
Hotmix_HM013_200m	Hotmix_HM089_3m
Hotmix_HM014_750m	Hotmix_HM029_100m
Hotmix_HM014_750m	MalaVP_DNA_D672_4000m
Hotmix_HM014_750m	MalaVP_DNA_D864_4000m
Hotmix_HM015_120m	Hotmix_HM037_90m
Hotmix_HM018_2630m	Hotmix_HM060_50m
Hotmix_HM019_2000m	Hotmix_HM049_200m
Hotmix_HM019_2000m	MalaVP_DNA_D2229_3m
Hotmix_HM020_1250m	Hotmix_HM185_50m
Hotmix_HM021_118m	MalaVP_DNA_D283_110m
Hotmix_HM022_50m	Hotmix_HM134_60m
Hotmix_HM023_3m	Hotmix_HM056_500m
Hotmix_HM023_3m	Hotmix_HM067_3m
Hotmix_HM023_3m	Hotmix_HM095_3m
Hotmix_HM024_550m	Hotmix_HM052_900m
Hotmix_HM025_200m	MalaVP_DNA_D1684_65m
Hotmix_HM028_825m	Hotmix_HM040_705m
Hotmix_HM028_825m	Hotmix_HM088_40m
Hotmix_HM029_100m	MalaSurf_MD1013_3m
Hotmix_HM029_100m	MalaVP_DNA_D1672_3m
Hotmix_HM029_100m	MalaVP_DNA_D1760_4000m
Hotmix_HM029_100m	MalaVP_DNA_D524_550m
Hotmix_HM030_50m	MalaSurf_MD2340_3m
Hotmix_HM031_3m	Hotmix_HM145_200m
Hotmix_HM033_200m	Hotmix_HM169_50m
Hotmix_HM033_200m	Hotmix_HM172_200m
Hotmix_HM034_2600m	Hotmix_HM131_2787m
Hotmix_HM034_2600m	Hotmix_HM132_2000m
Hotmix_HM035_2000m	Hotmix_HM072_50m
Hotmix_HM036_1100m	MalaVP_DNA_D275_1700m
Hotmix_HM037_90m	MalaVP_DNA_D1172_115m
Hotmix_HM037_90m	MalaVP_DNA_D1758_3m
Hotmix_HM038_50m	Hotmix_HM172_200m
Hotmix_HM039_3m	Hotmix_HM095_3m
Hotmix_HM040_705m	MalaSurf_MD778_3m
Hotmix_HM042_2421m	Hotmix_HM116_2000m
Hotmix_HM043_2000m	Hotmix_HM072_50m
Hotmix_HM043_2000m	MalaSurf_MD1143_3m
Hotmix_HM044_1000m	Hotmix_HM052_900m
Hotmix_HM045_110m	MalaVP_DNA_D1770_80m
Hotmix_HM046_50m	Hotmix_HM090_3165m
Hotmix_HM046_50m	Hotmix_HM148_886m
Hotmix_HM047_3m	Hotmix_HM185_50m
Hotmix_HM048_500m	Hotmix_HM052_900m
Hotmix_HM048_500m	Hotmix_HM063_500m
Hotmix_HM048_500m	MalaVP_DNA_D862_3m
Hotmix_HM049_200m	Hotmix_HM057_200m
Hotmix_HM049_200m	MalaSurf_MD962_3m
Hotmix_HM050_3167m	Hotmix_HM051_2000m
Hotmix_HM050_3167m	Hotmix_HM135_50m
Hotmix_HM051_2000m	Hotmix_HM117_1000m
Hotmix_HM051_2000m	Hotmix_HM124_2000m
Hotmix_HM051_2000m	Hotmix_HM184_70m
Hotmix_HM053_100m	Hotmix_HM079_120m
Hotmix_HM054_50m	MalaSurf_MD985_3m
Hotmix_HM055_3m	Hotmix_HM164_200m
Hotmix_HM058_1500m	Hotmix_HM115_2885m
Hotmix_HM059_3300m	Hotmix_HM184_70m
Hotmix_HM060_50m	Hotmix_HM072_50m
Hotmix_HM060_50m	Hotmix_HM080_50m
Hotmix_HM060_50m	MalaSurf_MD1125_3m
Hotmix_HM061_1200m	MalaVP_DNA_D1660_4000m
Hotmix_HM062_900m	Hotmix_HM102_1000m
Hotmix_HM064_200m	Hotmix_HM153_12m
Hotmix_HM065_92m	MalaVP_DNA_D2416_800m
Hotmix_HM066_50m	Hotmix_HM072_50m
Hotmix_HM066_50m	MalaSurf_MD1100_3m
Hotmix_HM066_50m	MalaSurf_MD621_3m
Hotmix_HM067_3m	Hotmix_HM080_50m
Hotmix_HM068_2500m	Hotmix_HM069_2000m
Hotmix_HM069_2000m	Hotmix_HM091_2000m
Hotmix_HM070_1000m	Hotmix_HM076_2000m
Hotmix_HM070_1000m	Hotmix_HM102_1000m
Hotmix_HM070_1000m	Hotmix_HM107_2881m
Hotmix_HM070_1000m	Hotmix_HM185_50m
Hotmix_HM071_86m	MalaVP_DNA_D80_88m
Hotmix_HM071_86m	MalaVP_DNA_D872_450m
Hotmix_HM073_3m	Hotmix_HM076_2000m
Hotmix_HM073_3m	MalaSurf_MD2332_3m
Hotmix_HM074_500m	Hotmix_HM119_50m
Hotmix_HM075_200m	Hotmix_HM142_1000m
Hotmix_HM077_3000m	MalaVP_DNA_D1170_3m
Hotmix_HM077_3000m	MalaVP_DNA_D862_3m
Hotmix_HM078_1000m	Hotmix_HM104_400m
Hotmix_HM079_120m	MalaVP_DNA_D2031_110m
Hotmix_HM079_120m	MalaVP_DNA_D682_110m
Hotmix_HM081_3m	MalaVP_DNA_D2418_460m
Hotmix_HM083_200m	Hotmix_HM087_400m
Hotmix_HM084_300m	Hotmix_HM187_555m
Hotmix_HM085_95m	Hotmix_HM118_60m
Hotmix_HM086_3m	Hotmix_HM119_50m
Hotmix_HM087_400m	Hotmix_HM096_650m
Hotmix_HM088_40m	Hotmix_HM120_3m
Hotmix_HM088_40m	MalaVP_DNA_D670_3m
Hotmix_HM089_3m	MalaVP_DNA_D271_3m
Hotmix_HM090_3165m	Hotmix_HM108_2000m
Hotmix_HM091_2000m	Hotmix_HM092_900m
Hotmix_HM091_2000m	MalaVP_DNA_D2031_110m
Hotmix_HM092_900m	Hotmix_HM109_1000m
Hotmix_HM093_75m	MalaVP_DNA_D1009_400m
Hotmix_HM093_75m	MalaVP_DNA_D1760_4000m
Hotmix_HM094_50m	Hotmix_HM098_75m
Hotmix_HM094_50m	Hotmix_HM146_75m
Hotmix_HM094_50m	MalaVP_DNA_D862_3m
Hotmix_HM096_650m	Hotmix_HM148_886m
Hotmix_HM097_200m	Hotmix_HM164_200m
Hotmix_HM098_75m	Hotmix_HM119_50m
Hotmix_HM100_3m	Hotmix_HM119_50m
Hotmix_HM101_1407m	Hotmix_HM126_65m
Hotmix_HM101_1407m	MalaSurf_MD98_3m
Hotmix_HM103_525m	Hotmix_HM180_200m
Hotmix_HM105_1500m	Hotmix_HM168_85m
Hotmix_HM106_50m	Hotmix_HM112_3m
Hotmix_HM106_50m	Hotmix_HM152_75m
Hotmix_HM107_2881m	Hotmix_HM124_2000m
Hotmix_HM108_2000m	Hotmix_HM124_2000m
Hotmix_HM109_1000m	Hotmix_HM141_1350m
Hotmix_HM110_60m	MalaSurf_MD1459_3m
Hotmix_HM111_50m	Hotmix_HM136_3m
Hotmix_HM111_50m	MalaVP_DNA_D271_3m
Hotmix_HM112_3m	MalaDeep_ST131_4000m
Hotmix_HM113_600m	Hotmix_HM161_50m
Hotmix_HM114_350m	Hotmix_HM133_1000m
Hotmix_HM115_2885m	Hotmix_HM172_200m
Hotmix_HM116_2000m	MalaSurf_MD1517_3m
Hotmix_HM118_60m	Hotmix_HM132_2000m
Hotmix_HM120_3m	Hotmix_HM178_3m
Hotmix_HM120_3m	MalaVP_DNA_D999_3m
Hotmix_HM121_600m	MalaDeep_ST10_3944m
Hotmix_HM121_600m	MalaVP_DNA_D1180_420m
Hotmix_HM122_400m	Hotmix_HM138_400m
Hotmix_HM123_2861m	MalaSurf_MD1517_3m
Hotmix_HM124_2000m	Hotmix_HM176_85m
Hotmix_HM125_1000m	Hotmix_HM129_600m
Hotmix_HM125_1000m	Hotmix_HM137_700m
Hotmix_HM125_1000m	Hotmix_HM148_886m
Hotmix_HM126_65m	Hotmix_HM128_3m
Hotmix_HM126_65m	Hotmix_HM186_3m
Hotmix_HM127_50m	MalaSurf_MD734_3m
Hotmix_HM128_3m	Hotmix_HM134_60m
Hotmix_HM128_3m	MalaDeep_ST112_4000m
Hotmix_HM129_600m	Hotmix_HM138_400m
Hotmix_HM129_600m	Hotmix_HM142_1000m
Hotmix_HM130_450m	Hotmix_HM171_513m
Hotmix_HM130_450m	MalaSurf_MD1143_3m
Hotmix_HM131_2787m	Hotmix_HM133_1000m
Hotmix_HM133_1000m	Hotmix_HM148_886m
Hotmix_HM138_400m	Hotmix_HM143_600m
Hotmix_HM138_400m	Hotmix_HM150_550m
Hotmix_HM138_400m	Hotmix_HM179_550m
Hotmix_HM140_80m	MalaVP_DNA_D1684_65m
Hotmix_HM142_1000m	MalaSurf_MD2761_3m
Hotmix_HM142_1000m	MalaVP_DNA_D2031_110m
Hotmix_HM144_400m	MalaVP_DNA_D1762_2000m
Hotmix_HM144_400m	MalaVP_DNA_D516_4000m
Hotmix_HM145_200m	Hotmix_HM151_200m
Hotmix_HM146_75m	Hotmix_HM147_3m
Hotmix_HM147_3m	MalaSurf_MD734_3m
Hotmix_HM148_886m	Hotmix_HM175_1250m
Hotmix_HM149_350m	Hotmix_HM171_513m
Hotmix_HM149_350m	MalaVP_DNA_D872_450m
Hotmix_HM151_200m	MalaDeep_ST134_4000m
Hotmix_HM151_200m	MalaDeep_ST77_4000m
Hotmix_HM153_12m	Hotmix_HM160_75m
Hotmix_HM153_12m	MalaVP_DNA_D670_3m
Hotmix_HM154_3m	MalaVP_DNA_D1764_750m
Hotmix_HM155_1447m	Hotmix_HM183_1250m
Hotmix_HM156_800m	Hotmix_HM180_200m
Hotmix_HM156_800m	Hotmix_HM181_3209m
Hotmix_HM157_3518m	Hotmix_HM165_4539m
Hotmix_HM157_3518m	MalaDeep_ST134_4000m
Hotmix_HM158_2000m	Hotmix_HM166_2000m
Hotmix_HM158_2000m	MalaVP_DNA_D1764_750m
Hotmix_HM159_1250m	MalaVP_DNA_D2416_800m
Hotmix_HM161_50m	Hotmix_HM185_50m
Hotmix_HM162_3m	Hotmix_HM170_3m
Hotmix_HM163_550m	Hotmix_HM171_513m
Hotmix_HM163_550m	MalaSurf_MD2751_3m
Hotmix_HM164_200m	Hotmix_HM180_200m
Hotmix_HM165_4539m	Hotmix_HM173_4082m
Hotmix_HM166_2000m	MalaVP_DNA_D1666_580m
Hotmix_HM167_1200m	Hotmix_HM175_1250m
Hotmix_HM167_1200m	MalaSurf_MD1143_3m
Hotmix_HM167_1200m	MalaSurf_MD2821_3m
Hotmix_HM168_85m	Hotmix_HM185_50m
Hotmix_HM169_50m	Hotmix_HM176_85m
Hotmix_HM170_3m	Hotmix_HM178_3m
Hotmix_HM171_513m	Hotmix_HM187_555m
Hotmix_HM172_200m	MalaVP_DNA_D2227_37m
Hotmix_HM174_2000m	Hotmix_HM182_2000m
Hotmix_HM174_2000m	MalaVP_DNA_D2029_200m
Hotmix_HM176_85m	Hotmix_HM178_3m
Hotmix_HM177_50m	Hotmix_HM185_50m
Hotmix_HM180_200m	MalaSurf_MD621_3m
Hotmix_HM183_1250m	MalaSurf_MD1125_3m
Hotmix_HM184_70m	MalaVP_DNA_D1684_65m
Hotmix_HM188_200m	MalaSurf_MD962_3m
MalaDeep_ST103_4000m	MalaDeep_ST109_4000m
MalaDeep_ST103_4000m	MalaDeep_ST77_4000m
MalaDeep_ST109_4000m	MalaDeep_ST131_4000m
MalaDeep_ST109_4000m	MalaDeep_ST41_4000m
MalaDeep_ST10_3944m	MalaDeep_ST26_3847m
MalaDeep_ST112_4000m	MalaDeep_ST97_4000m
MalaDeep_ST118_3200m	MalaDeep_ST97_4000m
MalaDeep_ST118_3200m	MalaSurf_MD486_3m
MalaDeep_ST118_3200m	MalaVP_DNA_D2418_460m
MalaDeep_ST121_3000m	MalaDeep_ST77_4000m
MalaDeep_ST121_3000m	MalaVP_DNA_D862_3m
MalaDeep_ST121_3000m	MalaVP_DNA_D870_800m
MalaDeep_ST131_4000m	MalaDeep_ST23_3942m
MalaDeep_ST26_3847m	MalaDeep_ST97_4000m
MalaDeep_ST41_4000m	MalaDeep_ST97_4000m
MalaDeep_ST77_4000m	MalaSurf_MD60_3m
MalaDeep_ST77_4000m	MalaVP_DNA_D674_3080m
MalaSurf_MD1035_3m	MalaVP_DNA_D870_800m
MalaSurf_MD1042_3m	MalaSurf_MD550_3m
MalaSurf_MD1080_3m	MalaSurf_MD591_3m
MalaSurf_MD111_3m	MalaSurf_MD141_3m
MalaSurf_MD111_3m	MalaSurf_MD1607_3m
MalaSurf_MD1125_3m	MalaSurf_MD834_3m
MalaSurf_MD1176_3m	MalaSurf_MD1798_3m
MalaSurf_MD1176_3m	MalaSurf_MD52_3m
MalaSurf_MD1186_3m	MalaSurf_MD2155_3m
MalaSurf_MD1209_3m	MalaSurf_MD1260_3m
MalaSurf_MD1209_3m	MalaSurf_MD1589_3m
MalaSurf_MD1209_3m	MalaSurf_MD1744_3m
MalaSurf_MD1209_3m	MalaSurf_MD2562_3m
MalaSurf_MD1222_3m	MalaSurf_MD1324_3m
MalaSurf_MD1222_3m	MalaSurf_MD2215_3m
MalaSurf_MD1222_3m	MalaSurf_MD2662_3m
MalaSurf_MD1222_3m	MalaSurf_MD2956_3m
MalaSurf_MD1246_3m	MalaVP_DNA_D76_700m
MalaSurf_MD1254_3m	MalaSurf_MD1421_3m
MalaSurf_MD1254_3m	MalaSurf_MD2094_3m
MalaSurf_MD1260_3m	MalaSurf_MD1479_5m
MalaSurf_MD1260_3m	MalaSurf_MD1700_3m
MalaSurf_MD1293_3m	MalaSurf_MD1459_3m
MalaSurf_MD1293_3m	MalaSurf_MD285_3m
MalaSurf_MD1293_3m	MalaSurf_MD64_3m
MalaSurf_MD1293_3m	MalaSurf_MD712_3m
MalaSurf_MD1302_3m	MalaSurf_MD2408_3m
MalaSurf_MD1302_3m	MalaSurf_MD854_3m
MalaSurf_MD1318_3m	MalaSurf_MD366_3m
MalaSurf_MD1318_3m	MalaSurf_MD684_3m
MalaSurf_MD1324_3m	MalaSurf_MD1672_3m
MalaSurf_MD1331_3m	MalaSurf_MD1811_3m
MalaSurf_MD1354_3m	MalaSurf_MD346_3m
MalaSurf_MD1368_3m	MalaSurf_MD486_3m
MalaSurf_MD1398_3m	MalaSurf_MD1421_3m
MalaSurf_MD1398_3m	MalaSurf_MD202_3m
MalaSurf_MD1398_3m	MalaSurf_MD486_3m
MalaSurf_MD1398_3m	MalaSurf_MD940_3m
MalaSurf_MD141_3m	MalaSurf_MD196_3m
MalaSurf_MD1421_3m	MalaSurf_MD1964_3m
MalaSurf_MD1421_3m	MalaSurf_MD389_3m
MalaSurf_MD1421_3m	MalaSurf_MD897_3m
MalaSurf_MD1425_3m	MalaSurf_MD806_3m
MalaSurf_MD1425_3m	MalaVP_DNA_D676_1290m
MalaSurf_MD1459_3m	MalaSurf_MD2408_3m
MalaSurf_MD1459_3m	MalaSurf_MD40_3m
MalaSurf_MD1475_5m	MalaSurf_MD1956_3m
MalaSurf_MD1479_5m	MalaSurf_MD1490_3m
MalaSurf_MD1479_5m	MalaSurf_MD1887_3m
MalaSurf_MD1490_3m	MalaSurf_MD2047_3m
MalaSurf_MD1537_3m	MalaSurf_MD254_3m
MalaSurf_MD1559_3m	MalaSurf_MD2051_3m
MalaSurf_MD1589_3m	MalaSurf_MD1798_3m
MalaSurf_MD1607_3m	MalaSurf_MD1811_3m
MalaSurf_MD1607_3m	MalaSurf_MD2051_3m
MalaSurf_MD1607_3m	MalaSurf_MD2155_3m
MalaSurf_MD1629_3m	MalaVP_DNA_D2416_800m
MalaSurf_MD1672_3m	MalaSurf_MD1857_3m
MalaSurf_MD1724_3m	MalaSurf_MD28_3m
MalaSurf_MD1724_3m	MalaSurf_MD575_3m
MalaSurf_MD1744_3m	MalaSurf_MD2408_3m
MalaSurf_MD1772_3m	MalaSurf_MD2864_3m
MalaSurf_MD1811_3m	MalaSurf_MD2723_3m
MalaSurf_MD1857_3m	MalaSurf_MD2155_3m
MalaSurf_MD1857_3m	MalaSurf_MD2594_3m
MalaSurf_MD1885_3m	MalaSurf_MD2094_3m
MalaSurf_MD1885_3m	MalaSurf_MD2516_3m
MalaSurf_MD1885_3m	MalaSurf_MD311_3m
MalaSurf_MD1928_3m	MalaSurf_MD2051_3m
MalaSurf_MD1928_3m	MalaSurf_MD2380_3m
MalaSurf_MD1956_3m	MalaSurf_MD1964_3m
MalaSurf_MD2004_3m	MalaSurf_MD2008_3m
MalaSurf_MD2004_3m	MalaSurf_MD254_3m
MalaSurf_MD2008_3m	MalaSurf_MD897_3m
MalaSurf_MD202_3m	MalaSurf_MD214_3m
MalaSurf_MD2047_3m	MalaSurf_MD897_3m
MalaSurf_MD2051_3m	MalaSurf_MD2094_3m
MalaSurf_MD2051_3m	MalaSurf_MD2111_3m
MalaSurf_MD2151_3m	MalaSurf_MD2247_3m
MalaSurf_MD2215_3m	MalaSurf_MD2340_3m
MalaSurf_MD2243_3m	MalaSurf_MD897_3m
MalaSurf_MD2247_3m	MalaSurf_MD2304_3m
MalaSurf_MD2247_3m	MalaSurf_MD2973_3m
MalaSurf_MD2380_3m	MalaSurf_MD2624_3m
MalaSurf_MD2408_3m	MalaSurf_MD2448_3m
MalaSurf_MD2436_3m	MalaSurf_MD311_3m
MalaSurf_MD2448_3m	MalaSurf_MD2474_3m
MalaSurf_MD266_3m	MalaSurf_MD389_3m
MalaSurf_MD266_3m	MalaSurf_MD439_3m
MalaSurf_MD285_3m	MalaSurf_MD684_3m
MalaSurf_MD2864_3m	MalaSurf_MD2956_3m
MalaSurf_MD2864_3m	MalaSurf_MD591_3m
MalaSurf_MD2956_3m	MalaSurf_MD2973_3m
MalaSurf_MD311_3m	MalaSurf_MD346_3m
MalaSurf_MD366_3m	MalaSurf_MD664_3m
MalaSurf_MD40_3m	MalaVP_DNA_D2029_200m
MalaSurf_MD417_3m	MalaSurf_MD834_3m
MalaSurf_MD417_3m	MalaSurf_MD916_3m
MalaSurf_MD458_3m	MalaVP_DNA_D273_4000m
MalaSurf_MD506_3m	MalaSurf_MD528_3m
MalaSurf_MD528_3m	MalaVP_DNA_D271_3m
MalaSurf_MD550_3m	MalaSurf_MD834_3m
MalaSurf_MD575_3m	MalaSurf_MD876_3m
MalaSurf_MD591_3m	MalaSurf_MD621_3m
MalaSurf_MD646_3m	MalaVP_DNA_D273_4000m
MalaSurf_MD64_3m	MalaVP_DNA_D1001_4000m
MalaSurf_MD64_3m	MalaVP_DNA_D1009_400m
MalaSurf_MD753_3m	MalaVP_DNA_D1668_450m
MalaSurf_MD753_3m	MalaVP_DNA_D1766_600m
MalaSurf_MD876_3m	MalaSurf_MD897_3m
MalaVP_DNA_D1003_2500m	MalaVP_DNA_D2025_500m
MalaVP_DNA_D1003_2500m	MalaVP_DNA_D76_700m
MalaVP_DNA_D1005_1065m	MalaVP_DNA_D2416_800m
MalaVP_DNA_D1005_1065m	MalaVP_DNA_D522_850m
MalaVP_DNA_D1007_715m	MalaVP_DNA_D1156_2600m
MalaVP_DNA_D1007_715m	MalaVP_DNA_D1664_650m
MalaVP_DNA_D1007_715m	MalaVP_DNA_D2021_4000m
MalaVP_DNA_D1011_130m	MalaVP_DNA_D1172_115m
MalaVP_DNA_D1156_2600m	MalaVP_DNA_D2027_400m
MalaVP_DNA_D1156_2600m	MalaVP_DNA_D516_4000m
MalaVP_DNA_D1156_2600m	MalaVP_DNA_D676_1290m
MalaVP_DNA_D1158_950m	MalaVP_DNA_D2223_600m
MalaVP_DNA_D1158_950m	MalaVP_DNA_D2803_430m
MalaVP_DNA_D1158_950m	MalaVP_DNA_D520_2400m
MalaVP_DNA_D1158_950m	MalaVP_DNA_D678_800m
MalaVP_DNA_D1160_1790m	MalaVP_DNA_D1662_1500m
MalaVP_DNA_D1160_1790m	MalaVP_DNA_D2021_4000m
MalaVP_DNA_D1168_650m	MalaVP_DNA_D2027_400m
MalaVP_DNA_D1168_650m	MalaVP_DNA_D279_450m
MalaVP_DNA_D1172_115m	MalaVP_DNA_D2031_110m
MalaVP_DNA_D1172_115m	MalaVP_DNA_D874_86m
MalaVP_DNA_D1660_4000m	MalaVP_DNA_D2021_4000m
MalaVP_DNA_D1660_4000m	MalaVP_DNA_D524_550m
